"","sub","item","seq","cond","nfix","deg"
"1",1,1,64,1,27,"20"
"2",1,2,67,2,16,"0"
"3",1,3,19,3,37,"20"
"4",1,4,4,4,26,"0"
"5",1,5,61,5,23,"20"
"6",1,6,22,6,18,"0"
"7",1,7,63,7,15,"20"
"8",1,8,29,8,24,"0"
"9",1,9,57,1,17,"20"
"10",1,10,54,2,19,"0"
"11",1,11,21,3,25,"20"
"12",1,12,31,4,12,"0"
"13",1,13,51,5,25,"20"
"14",1,14,75,6,26,"0"
"15",1,15,69,7,25,"20"
"16",1,16,71,8,26,"0"
"17",1,17,23,1,16,"20"
"18",1,18,59,2,26,"0"
"19",1,19,32,3,11,"20"
"20",1,20,30,4,13,"0"
"21",1,21,28,5,18,"20"
"22",1,22,52,6,29,"0"
"23",1,23,6,7,34,"20"
"24",1,24,37,8,23,"0"
"25",1,25,36,1,24,"20"
"26",1,26,73,2,30,"0"
"27",1,27,13,3,18,"20"
"28",1,28,46,4,16,"0"
"29",1,29,8,5,24,"20"
"30",1,30,12,6,22,"0"
"31",1,31,20,7,29,"20"
"32",1,32,2,8,28,"0"
"33",1,33,44,1,12,"20"
"34",1,34,60,2,16,"0"
"35",1,35,79,3,32,"20"
"36",1,36,80,4,24,"0"
"37",1,37,42,5,13,"20"
"38",1,38,66,6,17,"0"
"39",1,39,24,7,25,"20"
"40",1,40,34,8,21,"0"
"41",1,41,45,1,20,"20"
"42",1,42,14,2,28,"0"
"43",1,43,53,3,19,"20"
"44",1,44,26,4,20,"0"
"45",1,45,58,5,17,"20"
"46",1,46,68,6,24,"0"
"47",1,47,50,7,20,"20"
"48",1,48,17,8,25,"0"
"49",1,49,48,1,15,"20"
"50",1,50,35,2,9,"0"
"51",1,51,3,3,23,"20"
"52",1,52,38,4,19,"0"
"53",1,53,72,5,25,"20"
"54",1,54,25,6,26,"0"
"55",1,55,5,7,24,"20"
"56",1,56,18,8,11,"0"
"57",1,57,9,1,17,"20"
"58",1,58,33,2,29,"0"
"59",1,59,27,3,23,"20"
"60",1,60,39,4,22,"0"
"61",1,61,62,5,26,"20"
"62",1,62,15,6,27,"0"
"63",1,63,11,7,27,"20"
"64",1,64,56,8,21,"0"
"65",1,65,78,1,37,"20"
"66",1,66,70,2,26,"0"
"67",1,67,55,3,20,"20"
"68",1,68,65,4,11,"0"
"69",1,69,1,5,29,"20"
"70",1,70,43,6,24,"0"
"71",1,71,16,7,19,"20"
"72",1,72,7,8,30,"0"
"73",1,73,76,1,48,"20"
"74",1,74,74,2,42,"0"
"75",1,75,47,3,19,"20"
"76",1,76,10,4,25,"0"
"77",1,77,77,5,26,"20"
"78",1,78,49,6,24,"0"
"79",1,79,41,7,24,"20"
"80",1,80,40,8,20,"0"
"81",2,1,50,2,11,"0"
"82",2,2,44,3,9,"20"
"83",2,3,23,4,14,"0"
"84",2,4,57,5,13,"20"
"85",2,5,76,6,14,"0"
"86",2,6,21,7,13,"20"
"87",2,7,12,8,13,"0"
"88",2,8,1,1,15,"20"
"89",2,9,59,2,10,"0"
"90",2,10,32,3,16,"20"
"91",2,11,13,4,12,"0"
"92",2,12,15,5,14,"20"
"93",2,13,26,6,15,"0"
"94",2,14,5,7,19,"20"
"95",2,15,42,8,11,"0"
"96",2,16,73,1,12,"20"
"97",2,17,51,2,10,"0"
"98",2,18,79,3,16,"20"
"99",2,19,27,4,7,"0"
"100",2,20,58,5,12,"20"
"101",2,21,10,6,14,"0"
"102",2,22,37,7,19,"20"
"103",2,23,22,8,12,"0"
"104",2,24,39,1,13,"20"
"105",2,25,40,2,12,"0"
"106",2,26,38,3,21,"20"
"107",2,27,71,4,12,"0"
"108",2,28,78,5,16,"20"
"109",2,29,28,6,9,"0"
"110",2,30,17,7,14,"20"
"111",2,31,67,8,19,"0"
"112",2,32,24,1,15,"20"
"113",2,33,25,2,8,"0"
"114",2,34,45,3,16,"20"
"115",2,35,52,4,14,"0"
"116",2,36,14,5,26,"20"
"117",2,37,20,6,15,"0"
"118",2,38,74,7,19,"20"
"119",2,39,3,8,25,"0"
"120",2,40,34,1,9,"20"
"121",2,41,4,2,16,"0"
"122",2,42,65,3,11,"20"
"123",2,43,55,4,13,"0"
"124",2,44,35,5,11,"20"
"125",2,45,30,6,10,"0"
"126",2,46,7,7,16,"20"
"127",2,47,75,8,8,"0"
"128",2,48,43,1,15,"20"
"129",2,49,62,2,9,"0"
"130",2,50,53,3,9,"20"
