seq,subj,item,cond,R1,R2,R3,R4
57,1,1,1,7.00,1.00,1.00,3.00
60,1,2,2,3.00,1.00,0.00,4.00
17,1,3,3,3.00,1.00,1.00,4.00
3,1,4,4,4.00,1.00,1.00,3.00
54,1,5,5,6.00,1.00,1.00,2.00
20,1,6,6,5.00,1.00,1.00,2.00
56,1,7,7,5.00,1.00,1.00,3.00
27,1,8,8,11.00,1.00,2.00,3.00
50,1,9,1,14.00,1.00,1.00,3.00
19,1,11,3,3.00,2.00,1.00,1.00
28,1,12,4,8.00,1.00,1.00,1.00
45,1,13,5,2.00,1.00,1.00,2.00
68,1,14,6,6.00,1.00,1.00,3.00
62,1,15,7,2.00,1.00,0.00,1.00
64,1,16,8,7.00,2.00,1.00,5.00
21,1,17,1,2.00,2.00,1.00,4.00
52,1,18,2,5.00,1.00,1.00,6.00
29,1,19,3,3.00,1.00,1.00,1.00
26,1,21,5,6.00,1.00,2.00,4.00
46,1,22,6,10.00,0.00,1.00,4.00
5,1,23,7,3.00,1.00,1.00,6.00
32,1,24,8,3.00,3.00,1.00,3.00
31,1,25,1,3.00,2.00,1.00,1.00
66,1,26,2,3.00,0.00,1.00,3.00
12,1,27,3,4.00,1.00,1.00,4.00
40,1,28,4,3.00,1.00,1.00,4.00
7,1,29,5,5.00,1.00,1.00,4.00
11,1,30,6,3.00,1.00,1.00,3.00
18,1,31,7,6.00,1.00,2.00,4.00
1,1,32,8,5.00,1.00,2.00,3.00
38,1,33,1,7.00,1.00,1.00,3.00
53,1,34,2,5.00,1.00,2.00,3.00
72,1,35,3,4.00,1.00,1.00,1.00
73,1,36,4,7.00,1.00,1.00,1.00
36,1,37,5,4.00,0.00,2.00,3.00
59,1,38,6,3.00,1.00,1.00,1.00
22,1,39,7,13.00,1.00,1.00,4.00
39,1,41,1,5.00,2.00,1.00,5.00
47,1,43,3,7.00,2.00,1.00,5.00
24,1,44,4,4.00,1.00,1.00,4.00
51,1,45,5,4.00,1.00,1.00,4.00
61,1,46,6,9.00,0.00,1.00,3.00
44,1,47,7,4.00,1.00,3.00,4.00
15,1,48,8,13.00,2.00,1.00,3.00
42,1,49,1,4.00,1.00,1.00,4.00
30,1,50,2,2.00,2.00,1.00,3.00
2,1,51,3,5.00,2.00,1.00,3.00
33,1,52,4,2.00,1.00,1.00,3.00
65,1,53,5,2.00,2.00,1.00,5.00
23,1,54,6,3.00,1.00,1.00,3.00
