ID gender age DC
1 M 20 0
2 F 19 0
3 F 19 1
4 M 19 0
5 F 20 0
6 F 20 0
7 M 23 1
8 F 19 0
9 F 20 0
10 F 18 0
11 F 20 0
12 F 19 0
13 F 19 0
14 F 19 0
15 F 19 0
16 F 18 0
17 F 18 0
18 F 18 0
19 F 19 1
20 F 19 0
21 F 20 0
22 F 19 1
23 M 18 1
24 F 19 0
25 F 19 0
26 M 18 1
27 F 19 0
28 F 20 NA
29 F 20 0
30 M 19 0
31 F 19 0
32 F 20 0
33 M 20 0
34 M 19 0
35 F 19 0
36 F 21 0
37 F 20 0
38 F 20 0
39 F 23 0
40 F 20 1
41 F 20 0
42 F 27 1
43 F 19 0
44 M 21 0
45 F 19 0
46 F 18 0
47 F 20 0
48 M 21 0
49 F 20 0
50 F 19 0
51 M 19 0
52 M 22 0
53 F 19 0
54 F 18 0
55 F 20 0
56 F 19 0
57 F 21 0
58 F 19 0
59 F 19 0
60 M 32 0
61 F 20 0
62 F 19 0
63 F 19 0
64 M 21 0 
