"","sub","item","cond","nstarted","ncompleted","nboundary","problem","flags_equal"
"1",1,69,5,14,14,14,"no","yes"
"2",1,32,8,16,16,16,"no","yes"
"3",1,51,3,13,13,13,"no","yes"
"4",1,4,4,16,16,16,"no","yes"
"5",1,55,7,15,15,15,"no","yes"
"6",1,23,7,11,11,12,"no","yes"
"7",1,72,8,15,15,15,"no","yes"
"8",1,29,5,13,13,13,"no","yes"
"9",1,57,1,15,15,16,"no","yes"
"10",1,76,4,13,13,13,"no","yes"
"11",1,63,7,14,14,14,"no","yes"
"12",1,30,6,11,11,11,"no","yes"
"13",1,27,3,14,14,14,"no","yes"
"14",1,42,2,15,15,15,"no","yes"
"15",1,62,6,13,13,13,"no","yes"
"16",1,71,7,14,14,14,"no","yes"
"17",1,48,8,16,16,16,"no","yes"
"18",1,56,8,10,10,10,"no","yes"
"19",1,3,3,15,15,15,"no","yes"
"20",1,31,7,15,15,15,"no","yes"
"21",1,11,3,13,13,14,"no","yes"
"22",1,6,6,13,13,13,"no","yes"
"23",1,17,1,16,16,16,"no","yes"
"24",1,39,7,15,15,15,"no","yes"
"25",1,54,6,13,13,13,"no","yes"
"26",1,44,4,13,13,13,"no","yes"
"27",1,59,3,15,15,15,"no","yes"
"28",1,21,5,13,13,13,"no","yes"
"29",1,8,8,17,17,17,"no","yes"
"30",1,20,4,14,14,14,"no","yes"
"31",1,12,4,15,15,15,"no","yes"
"32",1,19,3,12,12,13,"no","yes"
"33",1,58,2,14,14,15,"no","yes"
"34",1,40,8,11,11,13,"no","yes"
"35",1,50,2,10,10,10,"no","yes"
"36",1,25,1,15,15,15,"no","yes"
"37",1,24,8,13,13,13,"no","yes"
"38",1,52,4,16,16,15,"yes","yes"
"39",1,60,4,15,15,15,"no","yes"
"40",1,80,8,12,12,12,"no","yes"
"41",1,79,7,13,13,13,"no","yes"
"42",1,37,5,17,17,17,"no","yes"
"43",1,70,6,16,16,16,"no","yes"
"44",1,33,1,12,12,12,"no","yes"
"45",1,41,1,14,14,14,"no","yes"
"46",1,28,4,13,13,13,"no","yes"
"47",1,75,3,13,13,13,"no","yes"
"48",1,49,1,12,12,12,"no","yes"
"49",1,78,6,13,13,13,"no","yes"
"50",1,47,7,13,13,13,"no","yes"
"51",1,13,5,16,16,16,"no","yes"
"52",1,22,6,15,15,15,"no","yes"
"53",1,43,3,15,15,15,"no","yes"
"54",1,10,2,15,15,17,"no","yes"
"55",1,67,3,15,15,15,"no","yes"
"56",1,64,8,13,13,13,"no","yes"
"57",1,9,1,17,17,17,"no","yes"
"58",1,45,5,13,13,13,"no","yes"
"59",1,18,2,11,11,11,"no","yes"
"60",1,34,2,15,15,15,"no","yes"
"61",1,5,5,16,16,16,"no","yes"
"62",1,61,5,16,16,16,"no","yes"
"63",1,7,7,14,14,14,"no","yes"
"64",1,1,1,14,14,14,"no","yes"
"65",1,68,4,13,13,13,"no","yes"
"66",1,38,6,15,15,16,"no","yes"
"67",1,2,2,15,15,15,"no","yes"
"68",1,46,6,16,16,16,"no","yes"
"69",1,15,7,13,13,13,"no","yes"
"70",1,66,2,15,15,16,"no","yes"
"71",1,16,8,17,17,17,"no","yes"
