"","subj","cond","item","start","end","duration_ms","duration_s","deg"
"7",1,6,14,1868017,1871801,3784,3.8,"0"
"9",1,7,31,1877869,1881905,4036,4,"20"
"11",1,2,26,1887379,1891139,3760,3.8,"0"
"13",1,5,45,1896003,1899555,3552,3.6,"20"
"14",1,6,22,1902090,1905691,3601,3.6,"0"
"16",1,2,66,1910944,1915931,4987,5,"0"
"17",1,4,60,1918197,1921197,3000,3,"0"
"18",1,5,29,1923216,1927069,3853,3.9,"20"
"20",1,5,37,1932288,1935842,3554,3.6,"20"
"21",1,3,27,1938436,1942688,4252,4.3,"20"
"23",1,3,11,1947817,1950700,2883,2.9,"20"
"25",1,8,40,1956810,1961206,4396,4.4,"0"
"26",1,7,47,1963490,1966338,2848,2.8,"20"
"27",1,6,54,1969512,1973437,3925,3.9,"0"
"28",1,7,79,1976344,1979873,3529,3.5,"20"
"29",1,5,61,1982449,1987346,4897,4.9,"20"
"30",1,8,16,1989140,1993830,4690,4.7,"0"
"32",1,7,15,1998721,2001737,3016,3,"20"
"34",1,8,24,2006991,2010263,3272,3.3,"0"
"36",1,3,59,2015646,2020206,4560,4.6,"20"
"37",1,1,65,2023434,2028921,5487,5.5,"20"
"38",1,1,33,2031244,2033860,2616,2.6,"20"
"39",1,8,56,2036896,2040205,3309,3.3,"0"
"40",1,8,80,2042522,2045624,3102,3.1,"0"
"41",1,4,20,2049110,2052341,3231,3.2,"0"
"43",1,4,12,2057968,2061493,3525,3.5,"0"
"45",1,4,44,2067182,2070447,3265,3.3,"0"
"46",1,2,42,2072964,2076558,3594,3.6,"0"
"47",1,8,64,2080631,2085093,4462,4.5,"0"
"48",1,6,30,2087781,2091332,3551,3.6,"0"
"50",1,6,70,2095971,2099825,3854,3.9,"0"
"51",1,2,18,2101839,2105801,3962,4,"0"
"53",1,1,57,2111088,2114950,3862,3.9,"20"
"54",1,5,77,2117079,2120967,3888,3.9,"20"
"55",1,5,53,2123870,2129279,5409,5.4,"20"
"56",1,2,50,2131199,2134600,3401,3.4,"0"
"57",1,1,1,2137364,2141347,3983,4,"20"
"59",1,1,73,2145836,2150217,4381,4.4,"20"
"60",1,7,7,2152368,2156500,4132,4.1,"20"
"62",1,5,21,2163254,2167420,4166,4.2,"20"
"64",1,8,32,2172090,2175847,3757,3.8,"0"
"66",1,3,75,2181119,2185558,4439,4.4,"20"
"67",1,7,23,2187638,2191207,3569,3.6,"20"
"69",1,1,41,2195427,2198215,2788,2.8,"20"
"70",1,1,49,2200302,2203172,2870,2.9,"20"
"71",1,7,55,2205193,2209533,4340,4.3,"20"
"72",1,6,6,2214264,2218978,4714,4.7,"0"
"74",1,7,71,2223681,2227225,3544,3.5,"20"
"75",1,2,10,2229737,2233885,4148,4.1,"0"
"77",1,4,36,2239583,2243419,3836,3.8,"0"
"78",1,4,52,2245142,2248560,3418,3.4,"0"
"79",1,5,69,2250383,2254185,3802,3.8,"20"
"80",1,6,62,2257146,2261350,4204,4.2,"0"
"81",1,3,19,2263335,2266346,3011,3,"20"
"83",1,2,2,2272453,2275290,2837,2.8,"0"
"85",1,3,35,2281672,2285649,3977,4,"20"
"86",1,2,74,2287488,2290998,3510,3.5,"0"
"87",1,3,67,2293218,2296999,3781,3.8,"20"
"88",1,4,4,2298853,2302971,4118,4.1,"0"
"90",1,6,78,2307246,2310977,3731,3.7,"0"
"91",1,8,8,2312798,2315809,3011,3,"0"
"93",1,3,3,2321858,2326239,4381,4.4,"20"
"95",1,6,38,2331455,2335317,3862,3.9,"0"
"96",1,6,46,2337198,2340391,3193,3.2,"0"
"97",1,1,9,2342219,2346040,3821,3.8,"20"
