seq,subj,item,cond,R1,R2,R3,R4
30,1,1,1,1827,192,336,467
0,1,1,0,0,0,0,0
0,1,1,0,0,0,0,0
0,1,1,0,0,0,0,0
0,1,1,0,0,0,0,0
0,1,1,0,0,0,0,0
0,1,1,0,0,0,0,0
0,1,1,0,0,0,0,0
0,1,2,0,0,0,0,0
47,1,2,2,915,156,123,594
0,1,2,0,0,0,0,0
0,1,2,0,0,0,0,0
0,1,2,0,0,0,0,0
0,1,2,0,0,0,0,0
0,1,2,0,0,0,0,0
0,1,2,0,0,0,0,0
0,1,3,0,0,0,0,0
0,1,3,0,0,0,0,0
54,1,3,3,932,377,410,908
0,1,3,0,0,0,0,0
0,1,3,0,0,0,0,0
0,1,3,0,0,0,0,0
0,1,3,0,0,0,0,0
0,1,3,0,0,0,0,0
0,1,4,0,0,0,0,0
0,1,4,0,0,0,0,0
0,1,4,0,0,0,0,0
51,1,4,4,1145,213,379,720
0,1,4,0,0,0,0,0
0,1,4,0,0,0,0,0
0,1,4,0,0,0,0,0
0,1,4,0,0,0,0,0
0,1,5,0,0,0,0,0
0,1,5,0,0,0,0,0
0,1,5,0,0,0,0,0
0,1,5,0,0,0,0,0
67,1,5,5,1402,328,400,568
0,1,5,0,0,0,0,0
0,1,5,0,0,0,0,0
0,1,5,0,0,0,0,0
0,1,6,0,0,0,0,0
0,1,6,0,0,0,0,0
0,1,6,0,0,0,0,0
0,1,6,0,0,0,0,0
0,1,6,0,0,0,0,0
40,1,6,6,2491,437,353,370
0,1,6,0,0,0,0,0
0,1,6,0,0,0,0,0
0,1,7,0,0,0,0,0
0,1,7,0,0,0,0,0
0,1,7,0,0,0,0,0
0,1,7,0,0,0,0,0
0,1,7,0,0,0,0,0
0,1,7,0,0,0,0,0
32,1,7,7,1146,189,384,999
0,1,7,0,0,0,0,0
0,1,8,0,0,0,0,0
0,1,8,0,0,0,0,0
0,1,8,0,0,0,0,0
0,1,8,0,0,0,0,0
0,1,8,0,0,0,0,0
0,1,8,0,0,0,0,0
0,1,8,0,0,0,0,0
53,1,8,8,1296,182,197,528
56,1,9,1,1805,202,219,649
0,1,9,0,0,0,0,0
0,1,9,0,0,0,0,0
0,1,9,0,0,0,0,0
0,1,9,0,0,0,0,0
0,1,9,0,0,0,0,0
0,1,9,0,0,0,0,0
0,1,9,0,0,0,0,0
0,1,10,0,0,0,0,0
42,1,10,2,1686,290,202,896
0,1,10,0,0,0,0,0
0,1,10,0,0,0,0,0
0,1,10,0,0,0,0,0
0,1,10,0,0,0,0,0
0,1,10,0,0,0,0,0
0,1,10,0,0,0,0,0
0,1,11,0,0,0,0,0
0,1,11,0,0,0,0,0
