"","sub","item","cond","seq","line","dataFile","prev","deg","Nfix_1st","Nfix_2nd","Nfix_all"
"1",1,128,2,1,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",9,18,28
"36",1,80,2,2,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",11,4,18
"56",1,45,3,3,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",9,2,15
"73",1,52,4,4,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",7,4,15
"90",1,16,4,5,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",11,12,27
"119",1,85,1,6,1,"D:/Data/E2DEG/E2DEG1.asc","valid","0",11,6,22
"143",1,62,2,7,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",9,6,18
"164",1,7,1,8,1,"D:/Data/E2DEG/E2DEG1.asc","valid","0",7,2,13
"180",1,15,3,9,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",10,3,17
"197",1,3,3,10,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",9,10,21
"219",1,98,2,11,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",8,4,15
"236",1,101,5,12,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",10,3,16
"255",1,26,2,13,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",8,5,19
"276",1,54,6,14,1,"D:/Data/E2DEG/E2DEG1.asc","mask","20",8,6,19
"295",1,107,5,15,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",9,2,17
"314",1,47,5,16,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",5,3,12
"331",1,2,2,17,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",8,3,18
"351",1,59,5,18,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",12,20,34
"389",1,44,2,19,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",7,1,14
"405",1,105,3,20,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",8,6,15
"420",1,58,4,21,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",11,3,18
"438",1,102,6,22,1,"D:/Data/E2DEG/E2DEG1.asc","mask","20",9,3,14
"454",1,126,6,23,1,"D:/Data/E2DEG/E2DEG1.asc","mask","20",7,14,22
"479",1,23,5,24,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",7,4,14
"493",1,25,1,25,1,"D:/Data/E2DEG/E2DEG1.asc","valid","0",7,3,16
"513",1,49,1,26,NA,"D:/Data/E2DEG/E2DEG1.asc","valid","0",9,3,19
"532",1,131,5,27,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",9,5,21
"553",1,53,5,28,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",9,7,19
"575",1,95,5,29,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",9,10,23
"599",1,69,3,30,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",9,3,15
"617",1,11,5,31,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",8,8,19
"639",1,123,3,32,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",9,4,17
"659",1,117,3,33,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",7,1,13
"673",1,32,2,34,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",8,7,19
"694",1,104,2,35,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",10,16,30
"726",1,66,6,36,1,"D:/Data/E2DEG/E2DEG1.asc","mask","20",7,5,15
"743",1,60,6,37,1,"D:/Data/E2DEG/E2DEG1.asc","mask","20",13,6,23
"767",1,135,3,38,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",8,2,16
"785",1,42,6,39,1,"D:/Data/E2DEG/E2DEG1.asc","mask","20",11,7,22
"807",1,138,6,40,1,"D:/Data/E2DEG/E2DEG1.asc","mask","20",9,3,17
"824",1,134,2,41,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",9,2,18
"844",1,129,3,42,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",11,7,20
"864",1,83,5,43,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",8,8,20
"890",1,110,2,44,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",10,2,15
"905",1,40,4,45,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",12,5,21
"931",1,71,5,46,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",10,3,16
"950",1,76,4,47,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",11,5,21
"971",1,122,2,48,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",8,10,19
"992",1,118,4,49,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",8,1,18
"1011",1,100,4,50,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",8,4,16
"1027",1,37,1,51,1,"D:/Data/E2DEG/E2DEG1.asc","valid","0",8,4,17
"1044",1,17,5,52,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",8,12,24
"1072",1,61,1,53,1,"D:/Data/E2DEG/E2DEG1.asc","valid","0",13,5,21
"1096",1,4,4,54,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",9,1,15
"1112",1,64,4,55,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",8,10,22
"1137",1,22,4,56,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",11,2,18
"1156",1,88,4,57,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",12,2,20
"1178",1,125,5,58,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",7,7,19
"1197",1,89,5,59,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",12,22,37
"1238",1,36,6,60,1,"D:/Data/E2DEG/E2DEG1.asc","mask","20",8,3,14
"1254",1,33,3,61,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",7,10,21
"1277",1,19,1,62,1,"D:/Data/E2DEG/E2DEG1.asc","valid","0",5,6,12
"1293",1,65,5,63,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",9,11,21
"1317",1,92,2,64,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",11,8,24
"1341",1,41,5,65,NA,"D:/Data/E2DEG/E2DEG1.asc","orth","20",7,1,14
"1357",1,121,1,66,1,"D:/Data/E2DEG/E2DEG1.asc","valid","0",4,6,14
"1375",1,28,4,67,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",10,4,15
"1393",1,70,4,68,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",15,4,23
"1416",1,109,1,69,1,"D:/Data/E2DEG/E2DEG1.asc","valid","0",9,2,16
"1435",1,39,3,70,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",6,3,14
"1452",1,14,2,71,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",9,3,19
"1473",1,112,4,72,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",9,1,15
"1490",1,87,3,73,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",11,3,18
"1510",1,48,6,74,1,"D:/Data/E2DEG/E2DEG1.asc","mask","20",6,1,8
"1521",1,13,1,75,NA,"D:/Data/E2DEG/E2DEG1.asc","valid","0",12,4,22
"1544",1,119,5,76,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",8,26,34
"1581",1,136,4,77,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",12,7,20
"1603",1,67,1,78,1,"D:/Data/E2DEG/E2DEG1.asc","valid","0",8,1,13
"1618",1,133,1,79,1,"D:/Data/E2DEG/E2DEG1.asc","valid","0",8,1,15
"1635",1,93,3,80,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",9,5,18
"1658",1,51,3,81,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",9,3,14
"1675",1,113,5,82,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",4,7,15
"1693",1,114,6,83,NA,"D:/Data/E2DEG/E2DEG1.asc","mask","20",11,11,22
"1718",1,20,2,84,NA,"D:/Data/E2DEG/E2DEG1.asc","orth","0",6,6,16
"1736",1,82,4,85,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",10,2,16
"1755",1,35,5,86,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",10,2,18
"1773",1,55,1,87,1,"D:/Data/E2DEG/E2DEG1.asc","valid","0",6,4,12
"1791",1,38,2,88,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",9,2,15
"1806",1,137,5,89,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",4,6,14
"1824",1,43,1,90,1,"D:/Data/E2DEG/E2DEG1.asc","valid","0",6,5,15
"1841",1,124,4,91,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",11,2,18
"1859",1,68,2,92,NA,"D:/Data/E2DEG/E2DEG1.asc","orth","0",10,4,19
"1878",1,73,1,93,1,"D:/Data/E2DEG/E2DEG1.asc","valid","0",12,14,28
"1910",1,90,6,94,1,"D:/Data/E2DEG/E2DEG1.asc","mask","20",8,3,16
"1926",1,9,3,95,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",9,7,20
"1947",1,56,2,96,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",7,7,20
"1971",1,34,4,97,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",9,6,18
"1991",1,75,3,98,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",9,6,21
"2014",1,115,1,99,1,"D:/Data/E2DEG/E2DEG1.asc","valid","0",5,13,21
"2038",1,94,4,100,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",10,4,16
"2055",1,5,5,101,NA,"D:/Data/E2DEG/E2DEG1.asc","orth","20",10,14,27
"2086",1,57,3,102,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",8,5,19
"2107",1,120,6,103,1,"D:/Data/E2DEG/E2DEG1.asc","mask","20",7,11,20
"2132",1,24,6,104,1,"D:/Data/E2DEG/E2DEG1.asc","mask","20",11,2,16
"2150",1,29,5,105,1,"D:/Data/E2DEG/E2DEG1.asc","orth","20",11,10,24
"2174",1,27,3,106,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",9,1,16
"2190",1,78,6,107,1,"D:/Data/E2DEG/E2DEG1.asc","mask","20",8,3,14
"2204",1,30,6,108,1,"D:/Data/E2DEG/E2DEG1.asc","mask","20",6,6,17
"2221",1,79,1,109,1,"D:/Data/E2DEG/E2DEG1.asc","valid","0",10,3,18
"2240",1,21,3,110,1,"D:/Data/E2DEG/E2DEG1.asc","mask","0",14,10,25
"2268",1,18,6,111,1,"D:/Data/E2DEG/E2DEG1.asc","mask","20",8,4,15
"2287",1,108,6,112,NA,"D:/Data/E2DEG/E2DEG1.asc","mask","20",12,0,19
"2308",1,74,2,113,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",13,11,26
"2335",1,46,4,114,NA,"D:/Data/E2DEG/E2DEG1.asc","valid","20",12,14,26
"2363",1,132,6,115,1,"D:/Data/E2DEG/E2DEG1.asc","mask","20",7,10,21
"2384",1,97,1,116,1,"D:/Data/E2DEG/E2DEG1.asc","valid","0",7,9,20
"2407",1,103,1,117,1,"D:/Data/E2DEG/E2DEG1.asc","valid","0",10,7,21
"2428",1,130,4,118,1,"D:/Data/E2DEG/E2DEG1.asc","valid","20",13,0,18
"2446",1,99,3,119,NA,"D:/Data/E2DEG/E2DEG1.asc","mask","0",10,13,25
"2474",1,31,1,120,1,"D:/Data/E2DEG/E2DEG1.asc","valid","0",10,2,19
"2493",1,6,6,121,NA,"D:/Data/E2DEG/E2DEG1.asc","mask","20",10,7,20
"2514",1,116,2,122,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",7,15,25
"2542",1,50,2,123,1,"D:/Data/E2DEG/E2DEG1.asc","orth","0",9,12,24
"2566",1,72,6,124,NA,"D:/Data/E2DEG/E2DEG1.asc","mask","20",11,6,20
