"","sub","cond","item","seq","start_time","end_time","duration_ms"
"10",1,6,30,1,413448,417121,3673
"12",1,4,100,2,425436,429175,3739
"13",1,5,137,3,431633,437404,5771
"14",1,3,117,4,440051,444666,4615
"15",1,1,31,5,447196,450300,3104
"17",1,2,8,6,455490,460961,5471
"19",1,2,26,7,465700,469256,3556
"21",1,2,2,8,477453,483453,6000
"23",1,4,46,9,489029,503807,14778
"25",1,1,97,10,509043,511356,2313
"26",1,3,21,11,513756,517435,3679
"28",1,1,121,12,523050,527331,4281
"29",1,1,127,13,530136,533109,2973
"30",1,6,84,14,535823,538358,2535
"31",1,4,16,15,540594,545104,4510
"33",1,2,92,16,550673,558700,8027
"34",1,4,4,17,561328,567419,6091
"36",1,4,22,18,571701,575491,3790
"38",1,5,125,19,582793,585819,3026
"39",1,2,32,20,588480,594381,5901
"41",1,2,74,21,599690,603774,4084
"42",1,6,42,22,606363,611356,4993
"44",1,5,5,23,616730,620834,4104
"46",1,2,80,24,627567,636195,8628
"47",1,4,40,25,638777,645836,7059
"49",1,6,72,26,651490,656739,5249
"50",1,4,136,27,658981,664602,5621
"51",1,1,67,28,666929,669158,2229
"52",1,1,91,29,672740,676845,4105
"53",1,1,73,30,679806,682819,3013
"54",1,3,75,31,685277,688532,3255
"55",1,4,70,32,690794,693748,2954
"56",1,2,110,33,696075,700748,4673
"57",1,3,27,34,703357,706892,3535
"59",1,3,105,35,712050,717050,5000
"60",1,3,3,36,719495,722514,3019
"62",1,6,6,37,727561,735652,8091
"64",1,1,19,38,740189,745307,5118
"66",1,1,85,39,752098,757092,4994
"67",1,2,122,40,759452,762438,2986
"68",1,4,88,41,764714,767400,2686
"69",1,2,98,42,769629,772505,2876
"70",1,2,38,43,775276,778381,3105
"72",1,3,93,44,785532,789780,4248
"73",1,2,68,45,792114,795532,3418
"74",1,4,52,46,797781,800683,2902
"76",1,5,77,47,807396,812089,4693
"77",1,4,94,48,814338,820017,5679
"78",1,2,134,49,822502,825593,3091
"79",1,3,123,50,827966,830809,2843
"80",1,1,13,51,833529,837888,4359
"82",1,1,61,52,846288,855392,9104
"83",1,4,28,53,857877,862818,4941
"85",1,1,115,54,867505,871420,3915
"86",1,1,43,55,873969,877649,3680
"88",1,3,15,56,882990,886153,3163
"90",1,4,58,57,890905,894395,3490
"91",1,6,18,58,896964,899533,2569
"93",1,6,114,59,904716,908076,3360
"94",1,1,1,60,910455,912762,2307
"96",1,2,20,61,917469,921737,4268
