"","sub","item","cond","seq","Bnd_loc","tCross","tStarted","tCompleted","tChange","tActualChange","nextFlag","tNextFlag","tChangetoFixOnset"
"1",1,30,6,1,315,415045,415049,415056,7,11,"SFIX",415052,4
"2",1,100,4,2,414,426418,426423,426429,6,11,"SFIX",426425,4
"3",1,137,5,3,249,433346,433351,433358,7,12,"SFIX",433356,2
"4",1,117,3,4,337,441333,441339,441345,6,12,"EFIX",441338,798
"5",1,31,1,5,315,448688,448692,448699,7,11,"SFIX",448694,5
"6",1,8,2,6,612,457797,457804,457810,6,13,"SFIX",457808,2
"7",1,26,2,7,249,466151,466157,466164,7,13,"SFIX",466158,6
"8",1,2,2,8,359,479349,479354,479361,7,12,"SFIX",479355,6
"9",1,46,4,9,271,491552,491559,491564,5,12,"SFIX",491562,2
"10",1,97,1,10,689,510405,510409,510415,6,10,"EFIX",510405,672
"11",1,21,3,11,656,514981,514984,514991,7,10,"SFIX",514984,7
"12",1,121,1,12,436,524841,524848,524854,6,13,"SFIX",524848,6
"13",1,127,1,13,513,531229,531234,531240,6,11,"EFIX",531223,640
"14",1,84,6,14,425,536890,536894,536901,7,11,"EFIX",536885,566
"15",1,16,4,15,502,541935,541940,541947,7,12,"SFIX",541943,4
"16",1,92,2,16,546,552423,552431,552438,7,15,"SFIX",552435,3
"17",1,4,4,17,480,562743,562745,562752,7,9,"SFIX",562754,-2
"18",1,22,4,18,557,573670,573674,573681,7,11,"SFIX",573677,4
"19",1,125,5,19,260,583834,583838,583845,7,11,"SFIX",583841,4
"20",1,32,2,20,370,589768,589773,589780,7,12,"SFIX",589776,4
"21",1,74,2,21,315,600653,600657,600663,6,10,"SFIX",600663,0
"22",1,42,6,22,480,607720,607729,607735,6,15,"EFIX",607725,521
"23",1,5,5,23,480,617871,617880,617886,6,15,"EFIX",617877,666
"24",1,80,2,24,414,629084,629090,629096,6,12,"SFIX",629094,2
"25",1,40,4,25,513,639886,639895,639901,6,15,"SFIX",639897,4
"26",1,72,6,26,337,652335,652340,652346,6,11,"SFIX",652342,4
"27",1,136,4,27,436,660195,660203,660210,7,15,"EFIX",660196,597
"28",1,67,1,28,414,667538,667543,667550,7,12,"EFIX",667538,519
"29",1,91,1,29,216,673484,673492,673498,6,14,"EFIX",673488,611
"30",1,73,1,30,524,680789,680793,680799,6,10,"SFIX",680797,2
"31",1,75,3,31,249,685888,685891,685897,6,9,"SFIX",685896,1
"32",1,70,4,32,733,692129,692133,692140,7,11,"SFIX",692133,7
"33",1,110,2,33,414,697383,697388,697395,7,12,"SFIX",697392,3
"34",1,27,3,34,304,703932,703938,703945,7,13,"SFIX",703939,6
"35",1,105,3,35,315,713016,713024,713030,6,14,"SFIX",713024,6
"36",1,3,3,36,260,720097,720103,720109,6,12,"EFIX",720092,506
"37",1,6,6,37,502,728873,728881,728887,6,14,"SFIX",728882,5
"38",1,19,1,38,359,741393,741398,741405,7,12,"SFIX",741402,3
"39",1,85,1,39,436,753174,753177,753183,6,9,"EFIX",753168,551
"40",1,122,2,40,403,760496,760504,760510,6,14,"SFIX",760508,2
"41",1,88,4,41,667,765883,765890,765896,6,13,"EFIX",765885,467
"42",1,98,2,42,579,771295,771302,771309,7,14,"SFIX",771308,1
"43",1,38,2,43,447,776862,776865,776871,6,9,"SFIX",776872,-1
"44",1,93,3,44,502,787504,787512,787519,7,15,"EFIX",787510,697
"45",1,68,2,45,634,793835,793840,793846,6,11,"EFIX",793832,397
"46",1,52,4,46,370,798571,798578,798585,7,14,"SFIX",798583,2
"47",1,77,5,47,414,808603,808605,808612,7,9,"SFIX",808616,-4
"48",1,94,4,48,293,816232,816240,816246,6,14,"SFIX",816240,6
"49",1,134,2,49,348,823517,823521,823527,6,10,"SFIX",823529,-2
"50",1,123,3,50,370,829001,829005,829012,7,11,"SFIX",829012,0
"51",1,13,1,51,271,834522,834529,834535,6,13,"SFIX",834532,3
"52",1,61,1,52,513,847813,847817,847823,6,10,"SFIX",847824,-1
