"","sub","item","cond","seq","dependnum","start","end","duration_ms","correctresp","subresp","accuracy"
"1",1,45,3,1,1,591876,594423,2547,1,1,1
"2",1,52,4,2,1,602749,605217,2468,1,1,1
"3",1,16,4,3,1,612301,615157,2856,0,0,1
"4",1,7,1,4,1,651002,655014,4012,1,1,1
"5",1,15,3,5,1,660835,663248,2413,1,1,1
"6",1,3,3,6,1,672540,676674,4134,1,1,1
"7",1,26,2,7,1,708402,711713,3311,1,1,1
"8",1,54,6,8,1,719294,721942,2648,1,1,1
"9",1,47,5,9,1,738768,740664,1896,1,1,1
"10",1,2,2,10,1,748641,751286,2645,1,1,1
"11",1,44,2,11,1,766538,768985,2447,1,1,1
"12",1,23,5,12,1,809532,812357,2825,0,0,1
"13",1,25,1,13,1,818253,820707,2454,0,0,1
"14",1,49,1,14,1,829904,832488,2584,0,0,1
"15",1,53,5,15,1,849486,851829,2343,0,0,1
"16",1,11,5,16,1,886249,888521,2272,0,1,0
"17",1,32,2,17,1,916602,918956,2354,1,1,1
"18",1,42,6,18,1,967001,971118,4117,1,1,1
"19",1,40,4,19,1,1037319,1041025,3706,0,0,1
"20",1,37,1,20,1,1081761,1084288,2527,1,1,1
"21",1,17,5,21,1,1093620,1096136,2516,1,1,1
"22",1,4,4,22,1,1111122,1113243,2121,0,0,1
"23",1,22,4,23,1,1127402,1129785,2383,1,1,1
"24",1,36,6,24,1,1167018,1170747,3729,1,1,1
"25",1,33,3,25,1,1178267,1181430,3163,0,0,1
"26",1,19,1,26,1,1188534,1191185,2651,1,0,0
"27",1,41,5,27,1,1214840,1218122,3282,0,0,1
"28",1,28,4,28,1,1300187,1302573,2386,0,0,1
"29",1,39,3,29,1,1331792,1334387,2595,1,1,1
"30",1,14,2,30,1,1342075,1344869,2794,1,1,1
"31",1,48,6,31,1,1378407,1387121,8714,0,0,1
"32",1,13,1,32,1,1400218,1402269,2051,1,1,1
"33",1,51,3,33,1,1442861,1445404,2543,0,0,1
"34",1,20,2,34,1,1470937,1473336,2399,1,1,1
"35",1,35,5,35,1,1489258,1492579,3321,0,0,1
"36",1,38,2,36,1,1507286,1509581,2295,0,0,1
"37",1,43,1,37,1,1526448,1529139,2691,0,0,1
"38",1,9,3,38,1,1571493,1574296,2803,1,1,1
"39",1,34,4,39,1,1591456,1594288,2832,1,1,1
"40",1,5,5,40,1,1626256,1629675,3419,0,0,1
"41",1,24,6,41,1,1651031,1653501,2470,0,0,1
"42",1,29,5,42,1,1663018,1666077,3059,1,1,1
"43",1,27,3,43,1,1672178,1674132,1954,0,0,1
"44",1,30,6,44,1,1684151,1686261,2110,1,1,1
"45",1,21,3,45,1,1699046,1701621,2575,1,1,1
"46",1,18,6,46,1,1708497,1710387,1890,0,0,1
"47",1,46,4,47,1,1739967,1742282,2315,0,0,1
"48",1,31,1,48,1,1813386,1817287,3901,0,0,1
"49",1,6,6,49,1,1823837,1826298,2461,0,0,1
"50",1,50,2,50,1,1838727,1840879,2152,1,1,1
"51",1,10,4,51,1,1870150,1872893,2743,0,0,1
"52",1,8,2,52,1,1909923,1912706,2783,0,0,1
"53",1,1,1,53,1,1918309,1920795,2486,0,0,1
"54",1,12,6,54,1,1927640,1930232,2592,0,0,1
"55",2,20,3,1,1,3512992,3516121,3129,1,1,1
"56",2,38,3,2,1,3524833,3526924,2091,0,0,1
"57",2,6,1,3,1,3535012,3537720,2708,0,0,1
"58",2,17,6,4,1,3547223,3549163,1940,1,1,1
"59",2,39,4,5,1,3584699,3587560,2861,1,1,1
"60",2,33,4,6,1,3618339,3621890,3551,0,0,1
"61",2,50,3,7,1,3644379,3646953,2574,1,1,1
"62",2,35,6,8,1,3654203,3658275,4072,0,0,1
"63",2,37,2,9,1,3666000,3671862,5862,1,1,1
"64",2,25,2,10,1,3688328,3692295,3967,0,0,1
"65",2,26,3,11,1,3698877,3701964,3087,1,1,1
"66",2,27,4,12,1,3710150,3713967,3817,0,0,1
"67",2,21,4,13,1,3739784,3742605,2821,1,1,1
"68",2,31,2,14,1,3764231,3768068,3837,0,1,0
"69",2,30,1,15,1,3784648,3786986,2338,1,1,1
"70",2,4,5,16,1,3813505,3816822,3317,0,0,1
"71",2,32,3,17,1,3880766,3883972,3206,1,1,1
"72",2,8,3,18,1,3912789,3916027,3238,0,0,1
"73",2,18,1,19,1,3923092,3926422,3330,0,0,1
"74",2,29,6,20,1,3964520,3967340,2820,1,1,1
"75",2,42,1,21,1,3974939,3979149,4210,1,1,1
"76",2,12,1,22,1,3997517,4000161,2644,0,0,1
"77",2,44,3,23,1,4012198,4015076,2878,1,1,1
"78",2,36,1,24,1,4020503,4023079,2576,1,1,1
"79",2,22,5,25,1,4031390,4034670,3280,1,1,1
"80",2,46,5,26,1,4041534,4044358,2824,0,0,1
"81",2,9,4,27,1,4059421,4062065,2644,1,1,1
"82",2,14,3,28,1,4154514,4156977,2463,1,1,1
"83",2,19,2,29,1,4168771,4171565,2794,1,1,1
"84",2,34,5,30,1,4178174,4180994,2820,1,1,1
"85",2,15,4,31,1,4188289,4191019,2730,1,1,1
"86",2,3,4,32,1,4197270,4199356,2086,1,1,1
"87",2,10,5,33,1,4222883,4225471,2588,0,0,1
"88",2,54,1,34,1,4248917,4253723,4806,1,1,1
"89",2,11,6,35,1,4260212,4262492,2280,0,1,0
"90",2,13,2,36,1,4270340,4273162,2822,1,1,1
"91",2,53,6,37,1,4332723,4334979,2256,0,0,1
"92",2,52,5,38,1,4341648,4344834,3186,1,1,1
"93",2,40,5,39,1,4362591,4365395,2804,0,0,1
"94",2,1,2,40,1,4409281,4411791,2510,0,0,1
"95",2,48,1,41,1,4440856,4443758,2902,0,0,1
"96",2,23,6,42,1,4451521,4454367,2846,0,0,1
